01 Año,02 Mes,04 Id Cargo,03 Orden,05 Puesto,06 Id,07 Valor,08 KPI,09 Resultado,10 Objetivo,11 Valor Real,12 Calificacion,13 Tendencia,14 Parametros,15 Suma Valor,16 Suma Calificacion,17 Calificacion General
2026,1,100,6,DIRECCIÓN MBC,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,70,67,95.7 %
2026,1,100,4,DIRECCIÓN MBC,1004,10,FLUJO DE EFECTIVO,145.7 % ,80 % ,145.7 % ,10,1,Mayor al 80 %,70,67,95.7 %
2026,1,100,1,DIRECCIÓN MBC,1001,10,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,10,1,Mayor al 70 %,70,67,95.7 %
2026,1,100,2,DIRECCIÓN MBC,1002,36,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,36,1,Mayor al 70 %,70,67,95.7 %
2026,1,100,11,DIRECCIÓN MBC,1011,5,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,5,1,Mayor al 80 %,70,67,95.7 %
2026,1,100,8,DIRECCIÓN MBC,1008,,TALEN REVIEW JEFATURAS ( INICIO DE PLAN ),NA , , ,,0,,70,67,95.7 %
2026,1,100,3,DIRECCIÓN MBC,1003,,UTILIDADES DE OPERACIÓN CORPORATIVA,NA , , ,,0,,70,67,95.7 %
2026,1,100,10,DIRECCIÓN MBC,1010,3,INVERSIONES ( EFICIENCIA OPERATIVA TESEO ),33.7 % ,75 % ,33.7 % ,0,5,Mayor al 75 %,70,67,95.7 %
2026,1,100,5,DIRECCIÓN MBC,1005,,GPTW,NA , , ,,0,,70,67,95.7 %
2026,1,100,9,DIRECCIÓN MBC,1009,6,VENTAS DEPARTAMENTALES,"$ 3,524,745 ","$ 1,984,273 ",177.6 % ,6,1,Mayor al  %,70,67,95.7 %
2026,1,100,12,DIRECCIÓN MBC,1012,,DYNAMICS ( ERP MBC ),NA , , ,,0,,70,67,95.7 %
2026,1,100,7,DIRECCIÓN MBC,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,70,67,95.7 %
2026,1,200,2,GERENCIA ADMINISTRATIVA,1002,10,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,10,1,Mayor al 70 %,67,61.2,91.3 %
2026,1,200,12,GERENCIA ADMINISTRATIVA,1011,4,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,4,1,Mayor al 80 %,67,61.2,91.3 %
2026,1,200,11,GERENCIA ADMINISTRATIVA,1008,,TALEN REVIEW JEFATURAS ( INICIO DE PLAN ),NA , , ,,0,,67,61.2,91.3 %
2026,1,200,13,GERENCIA ADMINISTRATIVA,1012,,DYNAMICS ( ERP MBC ),NA , , ,,0,,67,61.2,91.3 %
2026,1,200,7,GERENCIA ADMINISTRATIVA,2004,4,CUENTAS POR COBRAR,57.1 dias ,60 dias ,95.2 % ,4,2,Menor al 130 %,67,61.2,91.3 %
2026,1,200,10,GERENCIA ADMINISTRATIVA,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,67,61.2,91.3 %
2026,1,200,15,GERENCIA ADMINISTRATIVA,102 b,8,"AUDITORIAS DE 5'S EN LAS ÁREAS DE ADMINISTRACION",93.5 % ,95 % ,90 % ,7.2,3,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,67,61.2,91.3 %
2026,1,200,4,GERENCIA ADMINISTRATIVA,2001,8,GASTOS DE ADMINISTRACIÓN,"$ 3,226,406 ","$ 3,603,760 ",89.5 % ,8,2,Menor al 130 %,67,61.2,91.3 %
2026,1,200,8,GERENCIA ADMINISTRATIVA,2005,4,CUENTAS POR PAGAR,32.3 dias ,40 dias ,80.7 % ,4,2,Menor al 130 %,67,61.2,91.3 %
2026,1,200,6,GERENCIA ADMINISTRATIVA,2003,5,GASTOS DE VENTA  ( GASTOS FIJOS QUE NO DEPENDEN DE LA VENTA ),"$ 2,902,465 ","$ 2,067,922 ",140.4 % ,0,4,Menor al 130 %,67,61.2,91.3 %
2026,1,200,16,GERENCIA ADMINISTRATIVA,103 f,3,ROTACIÓN DE PERSONAL ADMINISTRATIVO,2.5 % ,3 % ,100 % ,3,2,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,67,61.2,91.3 %
2026,1,200,14,GERENCIA ADMINISTRATIVA,101 c,,AUDITORIAS INTERNAS ADMINISTRATIVAS,NA , , ,,0,,67,61.2,91.3 %
2026,1,200,3,GERENCIA ADMINISTRATIVA,1004,8,FLUJO DE EFECTIVO,145.7 % ,80 % ,145.7 % ,8,1,Mayor al 80 %,67,61.2,91.3 %
2026,1,200,5,GERENCIA ADMINISTRATIVA,2002,8,GASTOS DE CENTRO DE SERVICIOS,"$ 1,243,417 ","$ 1,238,276 ",100.4 % ,8,3,Menor al 130 %,67,61.2,91.3 %
2026,1,200,1,GERENCIA ADMINISTRATIVA,1001,5,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,5,1,Mayor al 70 %,67,61.2,91.3 %
2026,1,200,17,GERENCIA ADMINISTRATIVA,1005,,GPTW,NA , , ,,0,,67,61.2,91.3 %
2026,1,200,9,GERENCIA ADMINISTRATIVA,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,67,61.2,91.3 %
2026,1,1,13,MBC,1011,4,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,4,1,Mayor al 80 %,70,61.4,87.7 %
2026,1,1,15,MBC,102 a,3,"AUDITORIAS DE 5'S ( MBC )",90.5 % ,95 % ,90 % ,2.7,3,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,70,61.4,87.7 %
2026,1,1,10,MBC,3009,3,BAJAS DE CALIDAD ( DEVOLUCIONES MAS BAJAS ),2.2 % ,0.5 % ,0 % ,0,4,0.5 %  -  100 %<BR>1 %  -  85 %<BR>1.5 %  -  70 %,70,61.4,87.7 %
2026,1,1,3,MBC,1003,,UTILIDADES DE OPERACIÓN CORPORATIVA,NA , , ,,0,,70,61.4,87.7 %
2026,1,1,17,MBC,1005,,GPTW,NA , , ,,0,,70,61.4,87.7 %
2026,1,1,1,MBC,1001,10,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,10,1,Mayor al 70 %,70,61.4,87.7 %
2026,1,1,12,MBC,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,70,61.4,87.7 %
2026,1,1,14,MBC,101,,AUDITORIAS INTERNAS ( MBC ),NA , , ,,0,,70,61.4,87.7 %
2026,1,1,7,MBC,105,4,ENTREGAS A TIEMPO  |  TIENDAS CUADRA & CORRAL,76.1 | 99.2 ,95 % ,0 | 100 ,2,3,95 %  -  100 %<BR>90 %  -  80 %<BR>85 %  -  60 %,70,61.4,87.7 %
2026,1,1,4,MBC,104,3,DÍAS DE WIP  |  BOTAS & ACCESORIOS,12.1 | 6.1 ,12 | 7 ,80 | 100 ,2.7,3,12 | 7  -  100 %<BR>13 | 8  -  80 %<BR>14 | 9  -  60 %,70,61.4,87.7 %
2026,1,1,11,MBC,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,70,61.4,87.7 %
2026,1,1,16,MBC,103 a,3,ROTACIÓN DE PERSONAL MBC,6.1 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,70,61.4,87.7 %
2026,1,1,2,MBC,1002,40,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,40,1,Mayor al 70 %,70,61.4,87.7 %
2026,1,300,17,GERENCIA OPERATIVA,1012,,DYNAMICS ( ERP MBC ),NA , , ,,0,,70,53.2,76 %
2026,1,300,8,GERENCIA OPERATIVA,3006,6,DÍAS DE WIP  |  BOTAS Y ACCESORIOS,12.1 | 6.1 ,12 | 7 ,80 | 100 ,5.4,3,12 | 7  -  100 %<BR>13 | 8  -  80 %<BR>14 | 9  -  60 %,70,53.2,76 %
2026,1,300,3,GERENCIA OPERATIVA,3001,7,PRODUCTIVIDAD DE BOTAS,"21,324 prs ","21,600 prs ",98.7 % ,6.9,3,Mayor al 70 %,70,53.2,76 %
2026,1,300,1,GERENCIA OPERATIVA,1001,5,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,5,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,7,GERENCIA OPERATIVA,3005,3,PRODUCTIVIDAD DE BOLSAS,"3,300 pzs ","3,240 pzs ",101.9 % ,3,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,13,GERENCIA OPERATIVA,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,70,53.2,76 %
2026,1,300,18,GERENCIA OPERATIVA,101 d,,AUDITORIAS INTERNAS OPERATIVAS,NA , , ,,0,,70,53.2,76 %
2026,1,300,12,GERENCIA OPERATIVA,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,70,53.2,76 %
2026,1,300,15,GERENCIA OPERATIVA,1010,5,INVERSIONES ( EFICIENCIA OPERATIVA TESEO ),33.7 % ,75 % ,33.7 % ,0,5,Mayor al 75 %,70,53.2,76 %
2026,1,300,19,GERENCIA OPERATIVA,102 c,5,"AUDITORIAS DE 5'S EN LAS ÁREAS DE OPERACIONES",91.3 % ,95 % ,90 % ,4.5,3,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,70,53.2,76 %
2026,1,300,5,GERENCIA OPERATIVA,3003,3,PRODUCTIVIDAD DE BILLETERAS,"5,466 pzs ","5,760 pzs ",94.9 % ,2.8,3,Mayor al 70 %,70,53.2,76 %
2026,1,300,2,GERENCIA OPERATIVA,1002,5,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,5,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,11,GERENCIA OPERATIVA,3009,4,BAJAS DE CALIDAD ( DEVOLUCIONES MAS BAJAS ),2.2 % ,0.5 % ,0 % ,0,4,0.5 %  -  100 %<BR>1 %  -  85 %<BR>1.5 %  -  70 %,70,53.2,76 %
